street_name,defect_type,severity,latitude,longitude
Salah Salem,crack,3,30.066621,31.282221
Abbas El Akkad,crack,4,30.058119,31.318366
Airport Rd,crack,2,30.113452,31.407387
Port Said St,rutting,4,30.073461,31.266795
Ramsis St,pothole,3,30.063153,31.251425
Ring Road,marking,5,30.014046,31.194113
Shubra St,rutting,1,30.112651,31.273232
Nasr Rd,pothole,2,30.060476,31.323549
Mohamed Farid St,pothole,1,30.052194,31.247909
Salah Salem,marking,5,30.077471,31.276778
Mohandiseen Rd,edge_break,2,30.05982,31.203432
Nasr Rd,pothole,4,30.056497,31.334473
Salah Salem,pothole,3,30.066955,31.284186
Dokki St,marking,2,30.047321,31.207589
Airport Rd,crack,3,30.119942,31.394635
Port Said St,rutting,3,30.075321,31.257526
Nasr Rd,rutting,3,30.055999,31.325004
Shubra St,pothole,4,30.106589,31.275638
Autostrad Rd,pothole,4,30.077399,31.352772
October Bridge,pothole,4,30.052815,31.227766
Mohamed Farid St,subsidence,4,30.059974,31.247552
Salah Salem,crack,3,30.073452,31.276805
Shubra St,rutting,3,30.117349,31.270318
Autostrad Rd,crack,3,30.081996,31.350202
Heliopolis Ave,pothole,3,30.08558,31.320204
Heliopolis Ave,crack,3,30.093868,31.325336
Mohamed Farid St,rutting,2,30.057574,31.246639
Maadi Corniche,rutting,4,29.968306,31.257701
Ring Road,pothole,1,30.016882,31.194273
Nasr Rd,pothole,3,30.066889,31.336303
Autostrad Rd,edge_break,3,30.08051,31.347355
Mohamed Farid St,rutting,2,30.065954,31.247126
Mohamed Farid St,crack,4,30.055475,31.252915
Shubra St,crack,5,30.117663,31.263915
Shubra St,crack,5,30.111897,31.264961
Heliopolis Ave,crack,3,30.09108,31.327041
Shubra St,rutting,2,30.106215,31.269781
Nasr Rd,crack,4,30.066398,31.324439
Abbas El Akkad,crack,4,30.065686,31.320848
Nasr Rd,rutting,4,30.06695,31.326446
Shubra St,rutting,4,30.113763,31.267495
Shubra St,marking,4,30.111603,31.271435
Shubra St,crack,4,30.106514,31.270063
Heliopolis Ave,marking,3,30.082139,31.320732
Ring Road,crack,5,30.020246,31.204332
Ramsis St,pothole,3,30.060812,31.245325
Maadi Corniche,marking,2,29.975231,31.249056
Autostrad Rd,pothole,2,30.078519,31.353065
Ramsis St,pothole,1,30.068655,31.245873
Ramsis St,edge_break,2,30.057968,31.256399
October Bridge,edge_break,4,30.054596,31.224186
Airport Rd,subsidence,3,30.122142,31.394619
Mohamed Farid St,crack,4,30.062241,31.252835
Suez Desert Rd,pothole,3,30.104848,31.397246
Mohandiseen Rd,subsidence,2,30.06731,31.193956
Corniche El Nil,pothole,2,30.060474,31.238095
Ramsis St,pothole,4,30.062424,31.24797
Heliopolis Ave,pothole,2,30.09442,31.324725
Tahrir Square Rd,pothole,4,30.044739,31.24206
Dokki St,pothole,2,30.041506,31.212172
Tahrir Square Rd,pothole,1,30.039969,31.234304
Shubra St,rutting,4,30.117754,31.26971
Abbas El Akkad,crack,4,30.065151,31.325581
October Bridge,rutting,4,30.049498,31.22232
Airport Rd,marking,4,30.123205,31.392084
Dokki St,subsidence,3,30.045035,31.211378
Ring Road,subsidence,2,30.025487,31.196883
Shubra St,edge_break,4,30.111309,31.263705
Nasr Rd,pothole,3,30.053455,31.337795
Ramsis St,marking,3,30.057422,31.252004
Autostrad Rd,crack,4,30.078301,31.356649
Ramsis St,marking,4,30.066641,31.249692
Abbas El Akkad,subsidence,2,30.072129,31.319613
Heliopolis Ave,pothole,3,30.086554,31.318157
Nasr Rd,rutting,4,30.054684,31.327587
Dokki St,crack,3,30.046246,31.211143
Tahrir Square Rd,crack,2,30.040923,31.242339
October Bridge,subsidence,3,30.05959,31.229343
Shubra St,rutting,5,30.116792,31.276965
Tahrir Square Rd,crack,3,30.046951,31.235089
Ain Shams St,crack,3,30.111167,31.322102
Mohandiseen Rd,subsidence,4,30.057867,31.193493
Salah Salem,edge_break,1,30.072404,31.284013
October Bridge,crack,2,30.057249,31.233615
Mohandiseen Rd,subsidence,5,30.058635,31.201808
Abbas El Akkad,pothole,1,30.070967,31.315692
Shubra St,pothole,2,30.113872,31.269102
Ring Road,crack,1,30.012079,31.201684
Ain Shams St,edge_break,4,30.114713,31.318472
Mohandiseen Rd,pothole,1,30.05838,31.207445
Ramsis St,pothole,3,30.062221,31.246227
Corniche El Nil,rutting,3,30.048523,31.246863
Shubra St,marking,3,30.10264,31.264141
Port Said St,pothole,4,30.071604,31.258438
Ramsis St,crack,4,30.06857,31.242924
Airport Rd,edge_break,4,30.115836,31.402299
Nasr Rd,marking,4,30.067113,31.32223
Mohamed Farid St,pothole,2,30.055844,31.250223
Autostrad Rd,rutting,3,30.082802,31.345843
Ring Road,crack,5,30.023321,31.20206
Mohandiseen Rd,edge_break,3,30.055485,31.207999
Heliopolis Ave,rutting,5,30.084387,31.319368
Suez Desert Rd,edge_break,3,30.092102,31.393316
Corniche El Nil,pothole,4,30.052186,31.24402
Port Said St,crack,3,30.074115,31.256248
Dokki St,crack,3,30.040103,31.206334
Autostrad Rd,pothole,3,30.076473,31.35204
Ring Road,pothole,4,30.017763,31.200725
Dokki St,marking,3,30.041085,31.203979
Ain Shams St,pothole,1,30.11162,31.325245
Suez Desert Rd,crack,4,30.097939,31.397035
Suez Desert Rd,crack,4,30.100161,31.396484
Pyramids Rd,pothole,3,29.973876,31.135037
Port Said St,rutting,3,30.071276,31.263351
Abbas El Akkad,edge_break,3,30.064777,31.314669
Ring Road,crack,5,30.012271,31.20564
Mohamed Farid St,rutting,2,30.051503,31.243569
Ramsis St,pothole,4,30.065297,31.244053
Heliopolis Ave,crack,4,30.089649,31.321369
Nasr Rd,marking,5,30.064362,31.323503
Mohamed Farid St,pothole,5,30.064564,31.253268
Ain Shams St,pothole,4,30.111094,31.315227
Ain Shams St,pothole,5,30.102022,31.313904
Shubra St,crack,3,30.116198,31.272893
Ain Shams St,pothole,4,30.111698,31.317145
Mohandiseen Rd,marking,2,30.066471,31.207518
Corniche El Nil,rutting,1,30.04901,31.232453
Airport Rd,marking,2,30.120647,31.406242
Mohandiseen Rd,pothole,4,30.067161,31.195298
Autostrad Rd,rutting,1,30.079567,31.354873
Autostrad Rd,edge_break,3,30.080096,31.350386
October Bridge,marking,2,30.055913,31.222452
Salah Salem,pothole,5,30.06911,31.284493
Corniche El Nil,rutting,5,30.059112,31.241699
Salah Salem,rutting,4,30.070527,31.27519
Port Said St,pothole,1,30.074246,31.263783
Autostrad Rd,rutting,3,30.083724,31.355958
Heliopolis Ave,crack,4,30.082485,31.314001
Ramsis St,subsidence,5,30.06015,31.250815
Dokki St,rutting,3,30.046494,31.213402
Maadi Corniche,subsidence,3,29.96897,31.254404
Port Said St,rutting,1,30.068964,31.255029
Ring Road,crack,2,30.019271,31.192259
Dokki St,rutting,3,30.042751,31.204413
Ain Shams St,pothole,5,30.11214,31.316328
Corniche El Nil,pothole,2,30.062464,31.237916
Ramsis St,crack,3,30.056128,31.252931
Ain Shams St,pothole,3,30.114032,31.3256
Suez Desert Rd,crack,5,30.097488,31.401898
Ring Road,crack,3,30.014403,31.195124
Abbas El Akkad,crack,3,30.058235,31.315672
Heliopolis Ave,pothole,1,30.089183,31.322227
Abbas El Akkad,pothole,2,30.067825,31.325111
Abbas El Akkad,rutting,4,30.067465,31.314671
Mohandiseen Rd,marking,4,30.061844,31.197045
Ain Shams St,rutting,3,30.103833,31.314994
Nasr Rd,crack,3,30.061876,31.332318
Ring Road,rutting,3,30.022508,31.203824
Port Said St,pothole,1,30.07532,31.25529
Heliopolis Ave,pothole,2,30.097943,31.320348
Abbas El Akkad,rutting,5,30.064888,31.312231
Salah Salem,edge_break,5,30.070558,31.273353
Mohamed Farid St,rutting,3,30.062006,31.244548
Maadi Corniche,rutting,4,29.973402,31.248463
Autostrad Rd,pothole,2,30.075171,31.349078
Shubra St,rutting,2,30.10591,31.274468
Ring Road,crack,1,30.012595,31.199141
Salah Salem,pothole,4,30.069804,31.278772
Autostrad Rd,marking,2,30.080399,31.345147
Heliopolis Ave,subsidence,4,30.095746,31.325985
Ring Road,edge_break,2,30.018362,31.193493
Nasr Rd,crack,2,30.06678,31.33341
Abbas El Akkad,subsidence,1,30.068007,31.324783
Ain Shams St,pothole,4,30.106916,31.313571
Suez Desert Rd,marking,2,30.093643,31.400515
Mohandiseen Rd,pothole,1,30.053653,31.198293
Tahrir Square Rd,rutting,3,30.039094,31.231735
Nasr Rd,rutting,2,30.066059,31.334753
Dokki St,rutting,3,30.045156,31.20874
Abbas El Akkad,crack,4,30.057577,31.324631
Ring Road,pothole,5,30.025054,31.193574
Nasr Rd,rutting,4,30.057796,31.323238
Ring Road,subsidence,2,30.025851,31.197657
Ain Shams St,pothole,4,30.11172,31.315344
Autostrad Rd,crack,2,30.081614,31.346051
Heliopolis Ave,pothole,4,30.092058,31.327264
Tahrir Square Rd,crack,5,30.038772,31.240187
Tahrir Square Rd,marking,4,30.041778,31.240822
Ain Shams St,rutting,5,30.113713,31.323944
Salah Salem,pothole,4,30.067132,31.284634
Mohamed Farid St,pothole,3,30.050368,31.246063
Dokki St,rutting,3,30.03524,31.20383
Maadi Corniche,rutting,5,29.967844,31.250438
Pyramids Rd,marking,4,29.971438,31.132293
Maadi Corniche,crack,2,29.964527,31.248173
Salah Salem,subsidence,5,30.063298,31.278577
Nasr Rd,pothole,2,30.058451,31.330301
Abbas El Akkad,crack,5,30.072277,31.322414
Ramsis St,rutting,5,30.063108,31.255464
Corniche El Nil,crack,3,30.052504,31.237348
October Bridge,crack,3,30.048198,31.227712
Pyramids Rd,rutting,5,29.976344,31.128122
Port Said St,crack,3,30.066294,31.261634
Ring Road,pothole,5,30.024478,31.192311
Pyramids Rd,crack,2,29.96808,31.123196
Nasr Rd,rutting,2,30.063305,31.327034
Corniche El Nil,pothole,2,30.054342,31.241188
Nasr Rd,crack,4,30.060264,31.330888
Autostrad Rd,crack,5,30.079233,31.345455
Pyramids Rd,rutting,5,29.973332,31.129518
Corniche El Nil,subsidence,3,30.04836,31.240191
Salah Salem,crack,2,30.06259,31.279987
Corniche El Nil,pothole,1,30.055198,31.243464
Ring Road,rutting,3,30.012579,31.19465
Dokki St,pothole,3,30.032282,31.209438
Heliopolis Ave,rutting,4,30.085794,31.324988
Ring Road,rutting,5,30.023652,31.201571
Heliopolis Ave,edge_break,2,30.094788,31.320306
Mohamed Farid St,crack,2,30.065346,31.241528
Mohandiseen Rd,pothole,3,30.067339,31.202627
Ain Shams St,crack,3,30.117936,31.315133
Ain Shams St,rutting,3,30.114426,31.318686
Tahrir Square Rd,rutting,2,30.046976,31.228379
Suez Desert Rd,rutting,5,30.104011,31.394066
Mohandiseen Rd,subsidence,2,30.059987,31.19252
Pyramids Rd,rutting,1,29.963734,31.124747
Salah Salem,rutting,3,30.073092,31.285748
Suez Desert Rd,crack,4,30.097279,31.399812
Corniche El Nil,pothole,4,30.062781,31.238509
Maadi Corniche,pothole,1,29.966313,31.253004
Port Said St,rutting,3,30.074367,31.265514
Autostrad Rd,rutting,3,30.082468,31.351594
Autostrad Rd,pothole,2,30.0874,31.351003
Salah Salem,crack,4,30.070186,31.274001
Ramsis St,pothole,2,30.057406,31.257263
Ain Shams St,pothole,3,30.114113,31.32462
Abbas El Akkad,marking,4,30.064923,31.322494
Corniche El Nil,crack,2,30.059565,31.243672
Ramsis St,marking,5,30.06516,31.244529
Pyramids Rd,crack,2,29.975956,31.127892
Corniche El Nil,pothole,4,30.057137,31.236317
Mohandiseen Rd,marking,3,30.066718,31.196028
Dokki St,marking,3,30.045592,31.206873
Salah Salem,pothole,4,30.075146,31.278165
Corniche El Nil,crack,1,30.06196,31.243226
Nasr Rd,pothole,3,30.056582,31.336572
Tahrir Square Rd,rutting,3,30.037363,31.241721
Salah Salem,pothole,1,30.069853,31.278145
Shubra St,crack,4,30.11602,31.271107
Pyramids Rd,crack,2,29.964317,31.127808
Autostrad Rd,crack,4,30.075964,31.356716
Abbas El Akkad,rutting,3,30.063208,31.322687
October Bridge,pothole,3,30.059104,31.237998
Maadi Corniche,rutting,2,29.968989,31.255966
Ain Shams St,subsidence,2,30.112808,31.323826
Tahrir Square Rd,marking,5,30.044461,31.237511
Maadi Corniche,crack,3,29.963093,31.250308
Pyramids Rd,pothole,4,29.977802,31.122287
Mohamed Farid St,crack,4,30.058123,31.24337
Nasr Rd,edge_break,2,30.064223,31.334944
Mohandiseen Rd,crack,2,30.061821,31.197262
Abbas El Akkad,subsidence,5,30.07234,31.324336
Ramsis St,crack,3,30.059929,31.246168
Mohamed Farid St,marking,3,30.056624,31.243869
Pyramids Rd,crack,3,29.977888,31.133092
Suez Desert Rd,crack,1,30.094094,31.392349
Autostrad Rd,pothole,2,30.076407,31.348777
Suez Desert Rd,rutting,4,30.097183,31.403356
Ramsis St,rutting,3,30.066536,31.252391
Autostrad Rd,pothole,4,30.075916,31.344879
Ain Shams St,subsidence,2,30.116593,31.322962
Tahrir Square Rd,marking,5,30.040493,31.234226
Ring Road,rutting,3,30.024274,31.207047
Tahrir Square Rd,pothole,3,30.045712,31.22983
Pyramids Rd,rutting,1,29.965107,31.135297
Mohandiseen Rd,crack,3,30.059941,31.19775
Shubra St,pothole,2,30.106813,31.26577
Maadi Corniche,edge_break,5,29.977711,31.255584
Corniche El Nil,pothole,3,30.058692,31.24604
Suez Desert Rd,crack,5,30.093852,31.396895
Heliopolis Ave,pothole,3,30.093431,31.325048
Port Said St,marking,3,30.066362,31.2573
Salah Salem,crack,1,30.076367,31.276471
Mohandiseen Rd,pothole,3,30.062031,31.199295
Pyramids Rd,pothole,5,29.974088,31.127683
Port Said St,edge_break,3,30.077037,31.257029
Mohandiseen Rd,crack,4,30.057778,31.197468
Ain Shams St,pothole,4,30.107919,31.324964
Corniche El Nil,rutting,2,30.057288,31.238493
Ain Shams St,rutting,4,30.10356,31.327652
Suez Desert Rd,rutting,2,30.104395,31.394923
Nasr Rd,crack,2,30.055985,31.328756
Mohamed Farid St,marking,2,30.061514,31.253311
Airport Rd,crack,4,30.118048,31.398956
Abbas El Akkad,crack,5,30.061723,31.3121
Mohandiseen Rd,rutting,2,30.067313,31.204201
Nasr Rd,pothole,4,30.055279,31.336624
Ring Road,crack,3,30.016236,31.192732
Mohandiseen Rd,pothole,3,30.053866,31.202616
Abbas El Akkad,pothole,1,30.067926,31.315007
October Bridge,marking,2,30.05298,31.23152
Maadi Corniche,rutting,4,29.963702,31.252566
Tahrir Square Rd,pothole,3,30.042112,31.243537
Shubra St,subsidence,1,30.106187,31.269661
Ring Road,crack,3,30.025141,31.196443
Airport Rd,crack,4,30.119328,31.402067
Ain Shams St,pothole,3,30.102267,31.324274
Suez Desert Rd,crack,5,30.094301,31.398994
October Bridge,pothole,3,30.053947,31.224658
Mohandiseen Rd,pothole,4,30.066601,31.194212
Salah Salem,pothole,2,30.063113,31.272918
Mohandiseen Rd,marking,5,30.054608,31.204975
Ring Road,crack,1,30.026715,31.202676
Autostrad Rd,pothole,5,30.077076,31.342737
Dokki St,crack,4,30.035689,31.213444
Heliopolis Ave,subsidence,4,30.088919,31.325296
Ain Shams St,marking,1,30.117601,31.323764
Ring Road,pothole,2,30.016364,31.199567
Ain Shams St,rutting,3,30.117912,31.312295
Suez Desert Rd,subsidence,2,30.106436,31.400624
Salah Salem,marking,2,30.069207,31.277936
Heliopolis Ave,marking,4,30.086949,31.324475
Heliopolis Ave,marking,4,30.096089,31.324167
Ain Shams St,pothole,3,30.108509,31.318685
Abbas El Akkad,pothole,3,30.064998,31.32028
Autostrad Rd,pothole,2,30.074931,31.351478
Nasr Rd,crack,3,30.063348,31.335791
Corniche El Nil,rutting,2,30.059179,31.231423
Abbas El Akkad,pothole,4,30.065594,31.315796
Shubra St,subsidence,5,30.116348,31.264094
Port Said St,crack,2,30.072626,31.255545
Ramsis St,pothole,4,30.067576,31.242472
Suez Desert Rd,subsidence,4,30.101204,31.395402
Mohandiseen Rd,subsidence,5,30.066616,31.201225
Mohandiseen Rd,rutting,5,30.056874,31.204545
Heliopolis Ave,rutting,5,30.088283,31.317932
Pyramids Rd,crack,3,29.974843,31.127024
Nasr Rd,crack,2,30.065196,31.336049
Nasr Rd,pothole,3,30.066451,31.324082
Heliopolis Ave,subsidence,1,30.097295,31.327982
Tahrir Square Rd,crack,2,30.047063,31.238942
Salah Salem,subsidence,5,30.069989,31.277265
Mohandiseen Rd,rutting,3,30.056828,31.197514
Ramsis St,crack,3,30.068439,31.243594
Autostrad Rd,crack,3,30.087208,31.354907
Corniche El Nil,rutting,3,30.058636,31.236364
Ring Road,marking,2,30.019002,31.194335
Pyramids Rd,subsidence,2,29.96357,31.13064
Heliopolis Ave,crack,4,30.09599,31.313801
Heliopolis Ave,crack,4,30.086403,31.321594
Suez Desert Rd,crack,3,30.102391,31.397536
Dokki St,crack,5,30.045355,31.211295
Heliopolis Ave,rutting,4,30.094983,31.319483
Ain Shams St,pothole,5,30.111787,31.313336
Mohandiseen Rd,crack,3,30.067995,31.197738
Ain Shams St,pothole,3,30.115054,31.324401
Maadi Corniche,pothole,3,29.977116,31.25594
Pyramids Rd,crack,5,29.962029,31.136735
Dokki St,pothole,3,30.037135,31.206706
Corniche El Nil,pothole,4,30.064064,31.235847
Mohamed Farid St,pothole,1,30.061311,31.241129
Corniche El Nil,rutting,2,30.051333,31.240477
Heliopolis Ave,marking,3,30.092386,31.324261
Port Said St,crack,2,30.066633,31.252138
Heliopolis Ave,edge_break,4,30.092006,31.326464
Ramsis St,crack,4,30.066759,31.253516
Mohandiseen Rd,crack,4,30.060315,31.198752
Ring Road,rutting,5,30.021581,31.207866
Port Said St,rutting,3,30.072271,31.260358
Abbas El Akkad,rutting,4,30.071019,31.318717
Tahrir Square Rd,crack,3,30.041453,31.237622
Port Said St,crack,3,30.073862,31.258174
Mohandiseen Rd,crack,1,30.05677,31.192082
Corniche El Nil,crack,3,30.05382,31.232987
Abbas El Akkad,marking,5,30.070064,31.313308
Port Said St,pothole,3,30.077159,31.263322
Nasr Rd,marking,4,30.059663,31.335561
Nasr Rd,rutting,4,30.054446,31.326703
Dokki St,crack,2,30.035375,31.206813
Pyramids Rd,rutting,2,29.968301,31.126367
October Bridge,crack,5,30.05878,31.223359
Nasr Rd,pothole,4,30.066207,31.336687
Corniche El Nil,pothole,2,30.055537,31.245052
Mohamed Farid St,pothole,5,30.058111,31.241718
Abbas El Akkad,pothole,2,30.061184,31.325929
Pyramids Rd,rutting,4,29.963834,31.131608
Ring Road,pothole,5,30.020435,31.194392
Mohamed Farid St,pothole,4,30.050288,31.24969
Ring Road,pothole,4,30.021957,31.204971
Ain Shams St,pothole,5,30.117985,31.315492
Autostrad Rd,pothole,3,30.085835,31.35335
Tahrir Square Rd,marking,3,30.051019,31.240652
Corniche El Nil,edge_break,3,30.051712,31.240889
Dokki St,pothole,2,30.03597,31.20312
Ring Road,rutting,3,30.022267,31.2056
Nasr Rd,pothole,3,30.054406,31.332036
Ring Road,pothole,4,30.019224,31.202369
Port Said St,edge_break,2,30.063749,31.261309
Ain Shams St,crack,5,30.115432,31.325878
Port Said St,crack,3,30.064297,31.259441
Pyramids Rd,crack,3,29.968888,31.131277
Suez Desert Rd,pothole,5,30.094953,31.395168
Autostrad Rd,pothole,2,30.083015,31.351385
Heliopolis Ave,pothole,5,30.09769,31.322256
Maadi Corniche,marking,4,29.964685,31.25001
Ring Road,marking,3,30.012924,31.200109
Dokki St,subsidence,5,30.035595,31.203489
Salah Salem,edge_break,4,30.06567,31.277373
Salah Salem,crack,5,30.070124,31.277002
Autostrad Rd,crack,1,30.075357,31.354438
Ramsis St,crack,2,30.059835,31.244151
Tahrir Square Rd,crack,3,30.052135,31.23169
Corniche El Nil,crack,4,30.05089,31.239978
Autostrad Rd,edge_break,3,30.084096,31.350493
Shubra St,rutting,1,30.106372,31.272223
Dokki St,crack,4,30.045842,31.203308
Autostrad Rd,edge_break,1,30.085203,31.344654
Corniche El Nil,pothole,3,30.05835,31.239559
Pyramids Rd,pothole,5,29.973292,31.12617
Shubra St,pothole,3,30.105985,31.262723
Salah Salem,crack,2,30.068058,31.2838
Shubra St,marking,3,30.110036,31.264729
Abbas El Akkad,crack,4,30.057572,31.317287
Shubra St,pothole,3,30.111561,31.262237
Nasr Rd,marking,5,30.062329,31.325525
October Bridge,pothole,3,30.05852,31.225752
Tahrir Square Rd,rutting,1,30.045493,31.236685
Mohamed Farid St,crack,3,30.058073,31.246574
Autostrad Rd,crack,4,30.082719,31.356737
October Bridge,pothole,4,30.057541,31.225411
October Bridge,pothole,5,30.062563,31.236951
Tahrir Square Rd,rutting,4,30.04971,31.232556
Suez Desert Rd,marking,5,30.097858,31.399677
Ramsis St,marking,3,30.067858,31.24708
Pyramids Rd,rutting,2,29.970286,31.128407
Dokki St,pothole,4,30.040474,31.204083
Corniche El Nil,edge_break,4,30.048785,31.237769
October Bridge,edge_break,1,30.060459,31.224894
Mohamed Farid St,rutting,2,30.06212,31.242433
Mohandiseen Rd,pothole,4,30.053392,31.195643
Ramsis St,crack,4,30.065427,31.254743
Port Said St,subsidence,4,30.07502,31.266981
Airport Rd,pothole,2,30.122293,31.401027
Suez Desert Rd,rutting,2,30.095554,31.398974
Ring Road,crack,1,30.015017,31.200356
Port Said St,marking,3,30.070525,31.256026
Port Said St,pothole,1,30.07483,31.252129
Corniche El Nil,pothole,2,30.05233,31.246305
Ring Road,marking,4,30.01249,31.20373
Mohandiseen Rd,crack,2,30.060994,31.194972
Pyramids Rd,rutting,1,29.971418,31.125021
Abbas El Akkad,pothole,4,30.061284,31.32536
Suez Desert Rd,pothole,4,30.107877,31.407048
Maadi Corniche,crack,1,29.970134,31.257396
Shubra St,crack,5,30.111822,31.26771
Autostrad Rd,crack,4,30.074874,31.349886
Salah Salem,edge_break,1,30.067989,31.286247
Maadi Corniche,rutting,3,29.974773,31.252096
Port Said St,subsidence,1,30.068421,31.256476
Airport Rd,crack,2,30.12449,31.395338
Airport Rd,pothole,3,30.116744,31.394146
Ain Shams St,pothole,2,30.116501,31.32612
Ring Road,subsidence,3,30.017074,31.195409
Ring Road,pothole,2,30.018024,31.206763
Mohamed Farid St,marking,3,30.061535,31.255542
Tahrir Square Rd,crack,4,30.050588,31.242879
Nasr Rd,crack,5,30.06202,31.330393
Heliopolis Ave,pothole,2,30.085795,31.321577
Mohamed Farid St,rutting,2,30.06309,31.252306
Pyramids Rd,marking,2,29.966674,31.124109
Pyramids Rd,subsidence,5,29.975132,31.133642
Port Said St,crack,3,30.065657,31.263948
Salah Salem,crack,3,30.073456,31.273042
Mohandiseen Rd,edge_break,3,30.060287,31.207004
Autostrad Rd,pothole,5,30.087347,31.353396
Heliopolis Ave,pothole,3,30.093301,31.326774
Ain Shams St,rutting,4,30.104828,31.312478
Corniche El Nil,crack,3,30.055513,31.245113
Maadi Corniche,crack,5,29.977514,31.246943
Dokki St,pothole,3,30.032356,31.215238
Airport Rd,rutting,2,30.121419,31.403956
Ain Shams St,crack,2,30.102168,31.319697
Heliopolis Ave,rutting,3,30.09432,31.319541
Tahrir Square Rd,subsidence,4,30.040111,31.243343
Pyramids Rd,crack,3,29.968221,31.136815
Nasr Rd,marking,4,30.056051,31.329867
Autostrad Rd,pothole,4,30.082806,31.352726
Port Said St,pothole,5,30.076666,31.253187
Maadi Corniche,edge_break,2,29.963722,31.253816
Salah Salem,rutting,2,30.063196,31.274199
Nasr Rd,pothole,4,30.065679,31.327439
Mohandiseen Rd,crack,3,30.061183,31.204484
Airport Rd,crack,4,30.120776,31.403085
Pyramids Rd,pothole,4,29.966195,31.122851
Maadi Corniche,pothole,3,29.977639,31.251705
Autostrad Rd,pothole,4,30.083544,31.345013
Pyramids Rd,edge_break,5,29.967697,31.136213
Salah Salem,pothole,3,30.072478,31.273935
Ramsis St,edge_break,2,30.058309,31.252671
Heliopolis Ave,marking,1,30.095538,31.325122
Heliopolis Ave,marking,1,30.090949,31.316161
Tahrir Square Rd,pothole,3,30.047865,31.22985
Mohamed Farid St,pothole,3,30.051937,31.250244
Ain Shams St,rutting,1,30.117185,31.322061
Corniche El Nil,rutting,5,30.058371,31.235046
Dokki St,marking,4,30.033091,31.202257
Autostrad Rd,pothole,1,30.087407,31.345871
Maadi Corniche,crack,4,29.966583,31.25182
Port Said St,crack,2,30.073948,31.266653
Autostrad Rd,edge_break,5,30.074608,31.352504
Ramsis St,crack,2,30.060217,31.255601
Ramsis St,subsidence,3,30.065007,31.252251
Port Said St,rutting,2,30.066071,31.259203
Ramsis St,crack,5,30.056063,31.252529
Abbas El Akkad,rutting,4,30.064995,31.326309
Ramsis St,crack,5,30.060926,31.250271
Maadi Corniche,rutting,5,29.968972,31.251495
Tahrir Square Rd,pothole,1,30.048897,31.241322
Airport Rd,pothole,5,30.122987,31.399668
Heliopolis Ave,pothole,2,30.091911,31.321937
